Name ,Abbrev ,Status ,Fall ,Year ,Place ,Type ,Mass,MetBull ,Antarctic 
Murchison **,,Official,Y,1969,"Victoria, Australia",CM2,100000 g,48,
Aguas Zarcas **,,Official,Yc,2019,"Alajuela, Costa Rica",CM2,27000 g,108,
Murray **,,Official,Y,1950,"Kentucky, USA",CM2,12600 g,8,
Mighei,,Official,Y,1889,"Nikolayev, Ukraine",CM2,8000 g,,
Jbilet Winselwan **,,Official,,2013,"Saguia el Hamra, Western Sahara",CM2,6000 g,102,
Cold Bokkeveld,,Official,Y,1838,"Western Cape, South Africa",CM2,5200 g,,
Nogoya,,Official,Y,1879,"Entre Rios, Argentina",CM2,4000 g,,
Allan Hills 83100 **,ALH 83100,Official,,1983,Antarctica,CM1/2,3020 g,76,7(1)   ANSMET
Lonewolf Nunataks 94101 **,LON 94101,Official,,1994,Antarctica,CM2,2800 g,79,18(2)   ANSMET
Kolang **,,Official,Yc,2020,"Sumatera Utara, Indonesia",CM1/2,2550 g,109,
Mukundpura **,,Official,Yc,2017,"Rajasthan, India",CM2,2000 g,107,
Shidian **,,Official,Yc,2017,"Yunnan, China",CM2,1809 g,113,
Allan Hills 83102 **,ALH 83102,Official,,1983,Antarctica,CM2,1786 g,76,8(1)   ANSMET
Paris **,,Official,,2001,(unknown),CM,1370 g,97,
Boriskino,,Official,Y,1930,"Orenburgskaya oblast', Russia",CM2,1342 g,,
Northwest Africa 16085 **,NWA 16085,Official,,2022,(Northwest Africa),CM2,1128 g,113,
Tanezrouft 082 **,Tnz 082,Official,,2003,"Adrar, Algeria",CM2,1012 g,89,
Lonewolf Nunataks 94102 **,LON 94102,Official,,1994,Antarctica,CM2,942 g,79,18(2)   ANSMET
Northwest Africa 12917 **,NWA 12917,Official,,2019,(Northwest Africa),CM2,910 g,108,
Elephant Moraine 96029 **,EET 96029,Official,,1996,Antarctica,CM2,843 g,82,21(1)   ANSMET
Abadla 002 **,,Official,,2022,"Bechar, Algeria",CM2,800 g,111,
Northwest Africa 15523 **,NWA 15523,Official,,2022,(Northwest Africa),CM2,780 g,112,
Acfer 331 **,,Official,,2001,"Tamanghasset, Algeria",CM2,750 g,87,
Northwest Africa 14316 **,NWA 14316,Official,,2018,(Northwest Africa),CM2,712 g,110,
Northwest Africa 17406 **,NWA 17406,Official,,2025,(Northwest Africa),CM2,700 g,114†,
Moapa Valley **,,Official,,2004,"Nevada, USA",CM1,699 g,96,
Banten **,,Official,Y,1933,"Jawa Barat, Indonesia",CM2,629 g,57,
Winchcombe **,,Official,Yc,2021,"England, UK",CM2,602 g,110,
El Atchane 020 **,,Official,,2021,"Ouargla, Algeria",CM2,600 g,110,
Northwest Africa 17098 **,NWA 17098,Official,,2023,Algeria,CM2,579 g,113,
Northwest Africa 16452 **,NWA 16452,Official,,2023,Algeria,CM2,500 g,113,
Northwest Africa 5797,NWA 5797,Official,,2009,(Northwest Africa),CM2,495 g,97,
Northwest Africa 17588 **,NWA 17588,Official,,2025,Algeria,CM2,462 g,114†,
Szabo Bluff 12431 **,SZA 12431,Official,,2012,Antarctica,CM2,443 g,102,36(2)   ANSMET
Sayama **,,Official,Y,1986,"Kanto, Japan",CM2,430 g,85,
Dhofar 735 **,Dho 735,Official,,2002,"Zufar, Oman",CM2,381 g,87,
Yamato 793321,Y-793321,Official,,1979 or 1980,Antarctica,CM2,380 g,,J1(1)   NIPR
Northwest Africa 11086 **,NWA 11086,Official,,2016,Morocco,CM-an,373 g,106,
Northwest Africa 12651 **,NWA 12651,Official,,2015,Morocco,CM,365 g,108,
Northwest Africa 14113 **,NWA 14113,Official,,2021,Algeria,CM2,350 g,110,
Northwest Africa 11179 **,NWA 11179,Official,,2015,Morocco,CM2,338 g,106,
Northwest Africa 10574 **,NWA 10574,Official,,2016,(Northwest Africa),CM2,324 g,105,
Haripura,,Official,Y,1921,"Rajasthan, India",CM2,315 g,,
Northwest Africa 15811 **,NWA 15811,Official,,2023,(Northwest Africa),CM2,302 g,112,
Lewis Cliff 90500 **,LEW 90500,Official,,1990,Antarctica,CM2,295 g,76,14(2)   ANSMET
Northwest Africa 15739 **,NWA 15739,Official,,2022,Algeria,CM2,294 g,112,
Pollen,,Official,Y,1942,"Nordland, Norway",CM2,254 g,,
Miller Range 15031 **,MIL 15031,Official,,2015,Antarctica,CM2,237 g,106,40(1)   ANSMET
Yamato 982086,Y-982086,Official,,1998,Antarctica,CM2,225 g,99,J20   NIPR
Northwest Africa 11118 **,NWA 11118,Official,,2016,Western Sahara,CM2,222 g,106,
Northwest Africa 12184 **,NWA 12184,Official,,2018,(Northwest Africa),CM2,220 g,107,
Zaouatallaz 001 **,,Official,,2024,"Tamanghasset, Algeria",CM1,205 g,113,
Graves Nunataks 98005 **,GRA 98005,Official,,1998,Antarctica,CM2,203 g,84,22(2)   ANSMET
Lewis Cliff 85311 **,LEW 85311,Official,,1985,Antarctica,CM2-an,199.5 g,76,9(3)   ANSMET
Northwest Africa 16301 **,NWA 16301,Official,,2022,(Northwest Africa),CM2,197 g,112,
Miller Range 13005 **,MIL 13005,Official,,2013,Antarctica,CM1-2,192.7 g,104,38(2)   ANSMET
Elephant Moraine 14068 **,EET 14068,Official,,2014,Antarctica,CM2,185.6 g,107,  KOREAMET
Wisconsin Range 91600 **,WIS 91600,Official,,1991,Antarctica,CM-an,184.1 g,76,16(1)   ANSMET
Yamato 791198,Y-791198,Official,,1979,Antarctica,CM2,179.8 g,,  NIPR
MacAlpine Hills 88100 **,MAC 88100,Official,,1988,Antarctica,CM2,177.3 g,76,12(3)   ANSMET
Northwest Africa 13643 **,NWA 13643,Official,,2020,(Northwest Africa),CM2,170 g,110,
Kivesvaara **,,Official,,1968,"Oulu, Finland",CM2,164 g,59,
Yamato 74662,Y-74662,Official,,1974,Antarctica,CM2,150.9 g,,J3(1)   NIPR
Allan Hills 84044 **,ALH 84044,Official,,1984,Antarctica,CM2,147.4 g,76,8(2)   ANSMET
Tinina 001 **,,Official,,2023,"Sawfajjin, Libya",CM2,140 g,114†,
Elephant Moraine 15007 **,EET 15007,Official,,2015,"Antarctica, Antarctica",CM2,134.6 g,113,  KOREAMET
Elephant Moraine 96016,EET 96016,Official,,1996,Antarctica,CM2,132.1 g,82,21(1)   ANSMET
LaPaz Icefield 02333 **,LAP 02333,Official,,2002,Antarctica,CM2,131.4 g,88,26(2)   ANSMET
Northwest Africa 11322 **,NWA 11322,Official,,2017,(Northwest Africa),CM1/2,130.6 g,106,
Allan Hills 85013 **,ALH 85013,Official,,1985,Antarctica,CM2,130.4 g,76,9(3)   ANSMET
Northwest Africa 6976 **,NWA 6976,Official,,2011,(Northwest Africa),CM2,128 g,108,
Qued Mya 002 **,,Official,,2020,"Ouargla, Algeria",CM2,127.4 g,110,
Dominion Range 03183 **,DOM 03183,Official,,2003,Antarctica,CM2,124.5 g,89,28(1)   ANSMET
Asuka 12437 **,A 12437,Official,,2012,Antarctica,CM,123.4 g,105,J26   NIPR-RBINS
Allan Hills 84029 **,ALH 84029,Official,,1984,Antarctica,CM2,119.8 g,76,8(2)   ANSMET
Asuka 09474,A 09474,Official,,2009,Antarctica,CM,119.2 g,103,J23   NIPR-RBINS
Erakot,,Official,Y,1940,"Madhya Pradesh, India",CM2,113 g,,
Northwest Africa 10853 **,NWA 10853,Official,,2016,(Northwest Africa),CM1,109.3 g,105,
Dominion Range 08003 **,DOM 08003,Official,,2008,Antarctica,CM2,109 g,98,33(1)   ANSMET
Nawapali,,Official,Y,1890,"Orissa, India",CM2,105 g,,
Northwest Africa 15552 **,NWA 15552,Official,,2021,(Northwest Africa),CM2,104.3 g,112,
Northwest Africa 16239 **,NWA 16239,Official,,2023,(Northwest Africa),CM2,101 g,112,
Daoura 003 **,,Official,,2021,"Bechar, Algeria",CM2,101 g,110,
Dar al Gani 557,DaG 557,Official,,1997,"Al Jufrah, Libya",CM2,97 g,83,
Elephant Moraine 15091 **,EET 15091,Official,,2015,"Antarctica, Antarctica",CM2,95.9 g,113,  KOREAMET
LaPaz Icefield 03718 **,LAP 03718,Official,,2003,Antarctica,CM2,95.2 g,89,28(1)   ANSMET
Northwest Africa 17272 **,NWA 17272,Official,,2024,Algeria,CM2,95 g,114†,
Yamato 82098,Y-82098,Official,,1982 or 1983,Antarctica,CM2,94.5 g,,  NIPR
Asuka 12236,A 12236,Official,,2012,Antarctica,CM,93.7 g,107,J26   NIPR-RBINS
Dhofar 225 **,Dho 225,Official,,2001,"Zufar, Oman",CM-an,90 g,86,
Roberts Massif 04260 **,RBT 04260,Official,,2004,Antarctica,CM2,86.3 g,92,30(1)   ANSMET
LaPaz Icefield 02336 **,LAP 02336,Official,,2002,Antarctica,CM2,85.6 g,89,27(3)   ANSMET
Northwest Africa 17266 **,NWA 17266,Official,,2024,(Northwest Africa),CM2,85 g,113,
Cochabamba,,Official,,,Bolivia?,CM2,85 g,,
Northwest Africa 8157 **,NWA 8157,Official,,2011,(Northwest Africa),CM2,82 g,102,
Allan Hills 85007 **,ALH 85007,Official,,1985,Antarctica,CM2,82 g,76,9(3)   ANSMET
Northwest Africa 16097 **,NWA 16097,Official,,2023,(Northwest Africa),CM2,80 g,112,
Elephant Moraine 15062 **,EET 15062,Official,,2015,"Antarctica, Antarctica",CM2,78.9 g,113,  KOREAMET
Crescent,,Official,Y,1936,"Oklahoma, USA",CM2,78.4 g,,
Yamato 82054,Y-82054,Official,,1982,Antarctica,CM2,76.3 g,,  NIPR
Northwest Africa 14319 **,NWA 14319,Official,,2021,Morocco,CM2,76 g,110,
Northwest Africa 11699 **,NWA 11699,Official,,2017,(Northwest Africa),CM2,75.6 g,107,
Abadla 003 **,,Official,,2022,"Bechar, Algeria",CM2,75.4 g,111,
Lewis Cliff 87022 **,LEW 87022,Official,,1987,Antarctica,CM2,75.4 g,76,11(2)   ANSMET
Northwest Africa 17518 **,NWA 17518,Official,,2024,(Northwest Africa),CM2,74.2 g,114†,
Northwest Africa 15232 **,NWA 15232,Official,,2022,(Northwest Africa),CM2,74 g,111,
Northwest Africa 10834 **,NWA 10834,Official,,2016,(Northwest Africa),CM1/2,71 g,105,
Pecora Escarpment 02010 **,PCA 02010,Official,,2002,Antarctica,CM2,70.8 g,88,26(2)   ANSMET
Yamato 791191,Y-791191,Official,,1979,Antarctica,CM2,70.1 g,,  NIPR
Elephant Moraine 87522 **,EET 87522,Official,,1987,Antarctica,CM2,68.6 g,76,11(2)   ANSMET
Diepenveen **,,Official,Yp,1873,"Overijssel, Netherlands",CM2-an,68.4 g,104,
Miller Range 07700 **,MIL 07700,Official,,2007,Antarctica,CM2,67.6 g,96,31(2)   ANSMET
Queen Alexandra Range 97990 **,QUE 97990,Official,,1997,Antarctica,CM2,67.3 g,85,23(2)   ANSMET
Northwest Africa 1758,NWA 1758,Official,,2001,(Northwest Africa),CM2,66.4 g,87,
Outer Recovery Icefields 19139 **,OUT 19139,Official,,2020,Antarctica,CM2,65.4 g,113,  LostMets-UK
Northwest Africa 5037 **,NWA 5037,Official,,2007,(Northwest Africa),CM2,65 g,110,
Northwest Africa 8267 **,NWA 8267,Official,,2014,(Northwest Africa),CM2,64.3 g,104,
Yamato 984044,Y-984044,Official,,1998,Antarctica,CM,62.2 g,101,J21   NIPR
Allan Hills 84033 **,ALH 84033,Official,,1984,Antarctica,CM2,60.4 g,76,8(2)   ANSMET
MacKay Glacier 05230 **,MCY 05230,Official,,2005,Antarctica,CM2,60.1 g,92,29(2)   ANSMET
Santa Cruz,,Official,Y,1939,"Tamaulipas, Mexico",CM2,60 g,,
Northwest Africa 8534 **,NWA 8534,Official,,2014,(Northwest Africa),CM1/2,60 g,103,
Yamato 86695,Y-86695,Official,,1986,Antarctica,CM2,59.6 g,,  NIPR
Pecora Escarpment 02012 **,PCA 02012,Official,,2002,Antarctica,CM2,58.9 g,88,27(1)   ANSMET
Dominion Range 19019 **,DOM 19019,Official,,2019,Antarctica,CM2,58.5 g,110,44(2)   ANSMET
Northwest Africa 11965 **,NWA 11965,Official,,2018,(Northwest Africa),CM2,57.3 g,107,
Northwest Africa 16355 **,NWA 16355,Official,,2023,(Northwest Africa),CM2,57 g,112,
Asuka 881458,A-881458,Official,,1988,Antarctica,CM2,56.8 g,,J13(1)   NIPR
Northwest Africa 7306 **,NWA 7306,Official,,2011,(Northwest Africa),CM-an,54.7 g,102,
Lewis Cliff 85309 **,LEW 85309,Official,,1985,Antarctica,CM2-an,54.1 g,76,9(3)   ANSMET
Northwest Africa 14991 **,NWA 14991,Official,,2021,(Northwest Africa),CM2,54 g,111,
El-Quss Abu Said **,,Official,,1999,"Al Wadi al Jadid, Egypt",CM2,53.1 g,84,
Grosvenor Mountains 17004 **,GRO 17004,Official,,2017,Antarctica,CM2,52.9 g,107,41(2)   ANSMET
Asuka 12248,A 12248,Official,,2012,Antarctica,CM,52.9 g,107,J26   NIPR-RBINS
Northwest Africa 6908 **,NWA 6908,Official,,2010,Western Sahara,CM2,52.7 g,102,
Graves Nunataks 98074 **,GRA 98074,Official,,1998,Antarctica,CM2,51.9 g,84,23(1)   ANSMET
Pecora Escarpment 91008 **,PCA 91008,Official,,1991,Antarctica,CM2-an,51.7 g,76,15(2)   ANSMET
Northwest Africa 8060 **,NWA 8060,Official,,2013,(Northwest Africa),CM2,51.4 g,104,
Allan Hills 84042 **,ALH 84042,Official,,1984,Antarctica,CM2,51.3 g,76,8(2)   ANSMET
Grosvenor Mountains 95566 **,GRO 95566,Official,,1995,Antarctica,CM-an,50.7 g,82,20(1)   ANSMET
Northwest Africa 17407 **,NWA 17407,Official,,2025,(Northwest Africa),CM2,50 g,114†,
El Atchane 019 **,,Official,,2020,"Ouargla, Algeria",CM2,50 g,110,
Smeïra 001 **,,Official,,2021,"Tindouf, Algeria",CM2,49.2 g,110,
Northwest Africa 8300 **,NWA 8300,Official,,2013,Morocco,CM2,48.9 g,103,
Asuka 881280,A-881280,Official,,1988,Antarctica,CM2,48.5 g,,J13(1)   NIPR
Yamato 793595,Y-793595,Official,,1979,Antarctica,CM2,48.2 g,,  NIPR
Scott Glacier 06014 **,SCO 06014,Official,,2006,Antarctica,CM2,48.2 g,94,31(1)   ANSMET
Thiel Mountains 91722 **,TIL 91722,Official,,1991,Antarctica,CM2,47.4 g,76,16(1)   ANSMET
D'Angelo Bluff 06004 **,DNG 06004,Official,,2006,Antarctica,CM2,47.4 g,94,30(2)   ANSMET
Thiel Mountains 08007 **,TIL 08007,Official,,2008,Antarctica,CM2,47 g,105,  KOREAMET
Northwest Africa 11346 **,NWA 11346,Official,,2016,(Northwest Africa),CM-an,46.9 g,106,
Allan Hills 85009 **,ALH 85009,Official,,1985,Antarctica,CM2,46.6 g,76,9(3)   ANSMET
Miller Range 05152 **,MIL 05152,Official,,2005,Antarctica,CM2,46.6 g,92,29(2)   ANSMET
Northwest Africa 11345 **,NWA 11345,Official,,2016,(Northwest Africa),CM2,46 g,106,
Northwest Africa 8228 **,NWA 8228,Official,,2013,(Northwest Africa),CM2,45 g,104,
Dhofar 1994 **,Dho 1994,Official,,2010,"Zufar, Oman",CM2,45 g,104,
Lewis Cliff 88001 **,LEW 88001,Official,,1988,Antarctica,CM2,44.9 g,76,13(2)   ANSMET
Allan Hills 84034 **,ALH 84034,Official,,1984,Antarctica,CM2,44.1 g,76,8(2)   ANSMET
LaPaz Icefield 03785 **,LAP 03785,Official,,2003,Antarctica,CM2,43.4 g,89,28(1)   ANSMET
Northwest Africa 12328 **,NWA 12328,Official,,2017,(Northwest Africa),CM1,43.2 g,107,
MacKay Glacier 12002 **,MCY 12002,Official,,2013,Antarctica,CM2,42.6 g,112,  PNRA
Lewis Cliff 87148 **,LEW 87148,Official,,1987,Antarctica,CM2,42.5 g,76,12(1)   ANSMET
Elephant Moraine 96006 **,EET 96006,Official,,1996,Antarctica,CM2,42.2 g,82,21(1)   ANSMET
Northwest Africa 15298 **,NWA 15298,Official,,2022,(Northwest Africa),CM2,42 g,111,
Dhofar 1434 **,Dho 1434,Official,,2007,"Zufar, Oman",CM-an,42 g,95,
Miller Range 11111 **,MIL 11111,Official,,2011,Antarctica,CM1/2,41.9 g,101,35(2)   ANSMET
Asuka 10014,A 10014,Official,,2010,Antarctica,CM,41.6 g,103,J23   NIPR-RBINS
Meteorite Hills 01070 **,MET 01070,Official,,2001,Antarctica,CM1,40.6 g,87,25(2)   ANSMET
Northwest Africa 16040 **,NWA 16040,Official,,2022,(Northwest Africa),CM2,40 g,112,
Northwest Africa 7131 **,NWA 7131,Official,,2011,(Northwest Africa),CM2,40 g,101,
Asuka 881955,A-881955,Official,,1988,Antarctica,CM2,40 g,,  NIPR
Northwest Africa 6862 **,NWA 6862,Official,,2011,(Northwest Africa),CM2,39.4 g,100,
Northwest Africa 14097 **,NWA 14097,Official,,2021,(Northwest Africa),CM2,39.3 g,110,
LaPaz Icefield 02239 **,LAP 02239,Official,,2002,Antarctica,CM2,39.3 g,88,26(2)   ANSMET
Hamadat Zegher 001 **,HZ 001,Official,,2018,"Awbari, Libya",CM2,39 g,108,
Northwest Africa 16359 **,NWA 16359,Official,,2022,(Northwest Africa),CM2,38.9 g,112,
Meteorite Hills 00432 **,MET 00432,Official,,2000,Antarctica,CM2,38.9 g,86,24(2)   ANSMET
Yamato 980051,Y-980051,Official,,1998,Antarctica,CM2,38.5 g,,J16   NIPR
Meteorite Hills 01072 **,MET 01072,Official,,2001,Antarctica,CM2,38.5 g,87,25(2)   ANSMET
Dominion Range 14219 **,DOM 14219,Official,,2014,Antarctica,CM2,38.1 g,105,39(1)   ANSMET
Aydar 003 **,,Official,,2018,"South, Morocco",CM1/2,38 g,108,
MacAlpine Hills 88176 **,MAC 88176,Official,,1988,Antarctica,CM2,37.9 g,76,13(2)   ANSMET
Northwest Africa 11180 **,NWA 11180,Official,,2015,Morocco,CM2,37.5 g,106,
Miller Range 07675 **,MIL 07675,Official,,2007,Antarctica,CM2,37.4 g,98,33(1)   ANSMET
Yamato 82042,Y-82042,Official,,1982,Antarctica,CM1/2,37.1 g,,  NIPR
Asuka 881655,A-881655,Official,,1988,Antarctica,CM2,36.6 g,,  NIPR
Northwest Africa 7309 **,NWA 7309,Official,,2012,(Northwest Africa),CM2,36.2 g,102,
Northwest Africa 12748 **,NWA 12748,Official,,2019,(Northwest Africa),CM2,36 g,108,
Northwest Africa 12778 **,NWA 12778,Official,,2018,(Northwest Africa),CM2,35.8 g,108,
Asuka 881594,A-881594,Official,,1988,Antarctica,CM2,35.7 g,,  NIPR
Pecora Escarpment 91084 **,PCA 91084,Official,,1991,Antarctica,CM2,34.4 g,76,16(1)   ANSMET
Allan Hills 84051 **,ALH 84051,Official,,1984,Antarctica,CM2,34.3 g,76,9(2)   ANSMET
Northwest Africa 15749 **,NWA 15749,Official,,2022,Algeria,CM2,34 g,112,
Asuka 881334,A-881334,Official,,1988,Antarctica,CM2,34 g,,J13(1)   NIPR
Miller Range 15029 **,MIL 15029,Official,,2015,Antarctica,CM2,34 g,106,40(1)   ANSMET
Northwest Africa 10907 **,NWA 10907,Official,,2016,Morocco,CM2,33.8 g,106,
Northwest Africa 15824 **,NWA 15824,Official,,2022,(Northwest Africa),CM2,33.5 g,112,
Northwest Africa 12754 **,NWA 12754,Official,,2017,(Northwest Africa),CM2,33.5 g,108,
Reckling Peak 14005 **,RKP 14005,Official,,2014,Antarctica,CM2,33.4 g,107,  KOREAMET
Northwest Africa 12287 **,NWA 12287,Official,,2018,(Northwest Africa),CM2,33 g,107,
Allan Hills 84039 **,ALH 84039,Official,,1984,Antarctica,CM2,32.8 g,76,9(2)   ANSMET
Northwest Africa 10827 **,NWA 10827,Official,,2016,(Northwest Africa),CM2,32.7 g,105,
Dhofar 1981 **,Dho 1981,Official,,2008,"Zufar, Oman",CM2,32.7 g,104,
Northwest Africa 6725 **,NWA 6725,Official,,2011,(Northwest Africa),CM2,32.6 g,100,
Queen Alexandra Range 99355 **,QUE 99355,Official,,1999,Antarctica,CM2,32.4 g,86,25(1)   ANSMET
Asuka 12031,A 12031,Official,,2012,Antarctica,CM2,32.2 g,103,J23   NIPR-RBINS
Miller Range 07676 **,MIL 07676,Official,,2007,Antarctica,CM2,32.2 g,96,31(2)   ANSMET
Allan Hills 85008 **,ALH 85008,Official,,1985,Antarctica,CM2,32.1 g,76,9(3)   ANSMET
Northwest Africa 11465 **,NWA 11465,Official,,2017,(Northwest Africa),CM2,32 g,106,
Lewis Cliff 85312 **,LEW 85312,Official,,1985,Antarctica,CM2-an,31.7 g,76,9(3)   ANSMET
Bou Kra 005 **,,Official,,2010,"Saguia el Hamra, Western Sahara",CM2,31.1 g,102,
Northwest Africa 14094 **,NWA 14094,Official,,2021,(Northwest Africa),CM2,30.6 g,110,
Miller Range 15489 **,MIL 15489,Official,,2015,Antarctica,CM2,30.2 g,108,42(2)   ANSMET
Meteorite Hills 01075 **,MET 01075,Official,,2001,Antarctica,CM2,29.9 g,87,25(2)   ANSMET
Yamato 980093 **,Y-980093,Official,,1998,Antarctica,CM2,29.6 g,,J16   NIPR
Allan Hills 84049 **,ALH 84049,Official,,1984,Antarctica,CM2,29.4 g,76,9(2)   ANSMET
Yamato 791825,Y-791825,Official,,1979,Antarctica,CM2,29.1 g,,  NIPR
Northwest Africa 12861 **,NWA 12861,Official,,2014,(Northwest Africa),CM2,29 g,108,
Dominion Range 08013 **,DOM 08013,Official,,2008,Antarctica,CM2,28.8 g,98,32(2)   ANSMET
Allan Hills 84040 **,ALH 84040,Official,,1984,Antarctica,CM2,28.7 g,76,9(2)   ANSMET
Scott Glacier 06043 **,SCO 06043,Official,,2006,Antarctica,CM1,27.6 g,94,31(1)   ANSMET
Grosvenor Mountains 85202 **,GRO 85202,Official,,1985,Antarctica,CM2,27.2 g,76,9(3)   ANSMET
Yamato 86686,Y-86686,Official,,1986,Antarctica,CM2,27 g,,  NIPR
Northwest Africa 14473 **,NWA 14473,Official,,2021,(Northwest Africa),CM2,27 g,110,
LaPaz Icefield 031165 **,LAP 031165,Official,,2003,Antarctica,CM2,27 g,92,29(2)   ANSMET
