Meterotie ,Mass (g) ,amt,Stage,Official classification ,Reference ,Notes,Carbonate Ages 
MIL 07675,37.4,150,,CM2 ,"Alexander et al., 2012b",,
MAC 87300,167.5,150,1,C2-ungrouped ,Nakamura 2005 ,,
Y-793595,48.2,150,1,CM2 ,"Akai and Tari, 1997 ",,
A-881458,56.8,150,1,CM2 ,"Akai and Tari, 1997 ",,
Y-82042,37.1,150,1,CM1/2 ,"Akai and Tari, 1997 ",,
QUE 93005 ,13.4,150,1,CM2 ,"King et al., 2021 ",,"4565 +- 2 Ma; de Leuw et al., 2009. Dolomite crystallisation at 3.93 +- 0.23 after solar system formation; Lee et al., 2012 "
GRA 98005,203,150,1,CM2 ,"Kreitsch et al., 2021 ",,
MET 01072,38.5,150,1,CM2 ,"Krietsch et al., 2021 ",,
Y-74662,150.9,150,1,CM2 ,"Naraoka et al., 2004 ",,
LAP 04514,14.8,150,1,CM2,"Kreitsch et al., 2021 ",,
EET 87522,68.6,300,1.5,CM2 ,"King et al., 2021 ",,
EET 83355,66.2,450,2,C2-ungrouped ,"King et al., 2021 ",,
Y-86695,59.6,450,2,CM2,"Nakato et al., 2009",,
Y-793321,380,450,2,CM2 ,"Akai 1988, 1990, 1992, 1994 ",,
A-881334,34,450,2,CM2 ,"Nakamura et al., 2006",,
ALH 84033,60.4,450,2,CM2 ,"Krietsch et al., 2021 ",,
EET 96029,843,450,2,CM2 ,"King et al., 2021 ",,
MIL 05152,46.6,450,2,CM2 ,"Krietsch et al., 2021 ",,
MIL 07700,67.6,450,2,CM2 ,"Quirico et al., 2018",,
MAC 88100,177.3,450,2,CM2 ,"Prestgard et al., 2022 ",,
WIS 91600 ,184.1,450,2,CM-anomalous ,"King et al., 2021 ",,
PCA 91084,34.4,450,2,CM2,"Nakato et al., 2011 ",,
LAR 06318,25,450,2,CM2,"Nakato et al., 2011 ",,
DOM 03183 ,124.5,450,2,CM2,"Nakato et al., 2011 ",,
Jbilet Winselwan ,6000,450,2,CM2,"King et al., 2021 ",,
NWA 10827,32.7,450,2,CM2,"Kreitsch et al., 2021 ",,
Y-982086,225,450,2,CM2,"Kikuchi et al., 2016 ",,
Y-980036,5.5,450,2,CM2,"Imae et al., 2025 ",,
Y-980051,38.5,450,2,CM2,"Imae et al., 2025 ",,
MIL 13005 ,192.7,450,2,CM1-2,Tanbakouei et al. (in review) ,,
A-881280 ,48.5,550,2.5,CM2,"Naraoka et al., 2004 ",,
NWA 11346  ,46.9,550,2.5,CM-anomalous ,"Troncoso (Thesis, 2020) ",,
Y-82054,76.3,650,3,CM2 ,"King et al., 2021 ",,
EET 90043 ,12.5,650,3,"Classification inconclusive: C2 (1992), CO (2006), CM2 (2008) or a CO3-anomalous (2018) ","Tonui et al., 2002 ",,
EET 96010,16.3,650,3,CM2 ,"Tonui et al., 2001 ",,
NWA 12184 ,220,650,3,CM2,"Galiano et al., 2025 ",,
Reckling Peak 17085,1.4,650,3,CM2,"Musolino et al., 2024 ",,
MET 01076 ,9.2,650,3,CM2,"Righter et al., 2025",,
MET 01077 ,18.9,650,3,CM2,"Righter et al., 2025",,
Dho 1434 ,42,650,3,CM-anomalous ,Harrison et al. (in review) ,,
A-881655,36.6,650,3,CM2 ,"Lipschutz et al., 1999",,
PCA 91008,51.7,750,3.5,CM2-anomalous ,"King et al., 2021 ",,
Y-82098,94.5,850,4,CM2 ,"Akai and Tari, 1997 ",,
NWA 11024 ,4.7,850,4,CM-anomalous ,"Kreitsch et al., 2021 ",,
PCA 02010 ,70.8,850,4,CM2 ,"Alexander et al., 2013 ",,
PCA 02012 ,58.9,850,4,CM2 ,"Alexander et al., 2013 ",,
NWA 4757 ,5,850,4,CM2,"Ivanova et al., 2025 ",,
